WAA ID,BASIN,LOCATION,RIVMILE,COLL_DATE,COLLECT,Replicate,MACRO_GENSPECIES,INDIV,Stage,TAXONOMIST,WAA Project ID,Comments,#_Grids,PercentWTSorted,TotalInd,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Acentrella turbida,12,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Antocha sp.,3,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Baetis intercalaris,4,L,WAA,470.12,"1 aggregated, all damaged",,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Baetis sp.,2,L,WAA,470.12,"unique, damaged",,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Caenis sp.,1,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Ceratopsyche sp.,1,L,WAA,470.12,"unique, immature, likely C. morosa",,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Ceratopsyche sparna,17,L,WAA,470.12,"2 aggregated - immature, damaged",,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Cheumatopsyche sp.,8,L,WAA,470.12,1 aggregated - immature,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Corydalus sp.,2,L,WAA,470.12,1 aggregated - immature,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Corynoneura sp.,3,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Cricotopus/Orthocladius Complex,1,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Dolophilodes sp.,2,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Epeorus vitreus,4,L,WAA,470.12,"3 aggregated - immature, damaged",,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Hemerodromia sp.,1,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Hexatoma sp.,2,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Hydroptila sp.,2,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Leucrocuta sp.,2,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Maccaffertium sp.,2,L,WAA,470.12,damaged,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Microtendipes pedellus gr.,1,L,WAA,470.12,,,23.23,100,
