,FINAL_ID,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,MACRO_GENSPECIES,FEEDINGHAB,TOLERANCE,NBI_P_TOLERANCE,NBI_N_TOLERANCE,TOLNAME,CLASSIFIER,PREVNAMES,COMMONNAME,REFERENCE
246,ABLABESMYIA_ANNULATA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_ANNULATA,ABLABESMYIA ANNULATA,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,ABLABESMYIA SP. 4,MIDGE,95
613,ABLABESMYIA_ASPERA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_ASPERA,ABLABESMYIA ASPERA,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,95
247,ABLABESMYIA_IDEI,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_IDEI,ABLABESMYIA IDEI,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,95
248,ABLABESMYIA_ILLINOENSIS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_ILLINOENSIS,ABLABESMYIA ILLINOENSIS,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,NA,NA
249,ABLABESMYIA_JANTA,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_JANTA,ABLABESMYIA JANTA,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,95
250,ABLABESMYIA_MALLOCHI,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_MALLOCHI,ABLABESMYIA MALLOCHI,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,95
251,ABLABESMYIA_MONILIS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_MONILIS,ABLABESMYIA MONILIS,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,"ABLABESMYIA BASALIS, ABLABESMYIA PARAJANTA",MIDGE,95
252,ABLABESMYIA_PELEENSIS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_PELEENSIS,ABLABESMYIA PELEENSIS,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,95
253,ABLABESMYIA_PHILOSPHAGNOS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_PHILOSPHAGNOS,ABLABESMYIA PHILOSPHAGNOS,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,95
254,ABLABESMYIA_RHAMPHE,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_RHAMPHE,ABLABESMYIA RHAMPHE,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,36
