,WAA ID,BASIN,LOCATION,RIVMILE,COLL_DATE,COLLECT,Replicate,MACRO_GENSPECIES,INDIV,Stage,TAXONOMIST,WAA Project ID,Comments,#_Grids,PercentWTSorted,TotalInd,Unnamed: 16
0,470.12-016,,ESOP,28.7,7/27/2017,1,,pontoporeia affinis,1.0,L,WAA,470.12,,,52.59,100.0,
1,470.12-040,,PERR,1.5,7/25/2017,1,,undetermined amphipoda,1.0,L,WAA,470.12,damaged - Gammaridae/Crangonyctidae,,43.57,100.0,
2,470.12-041,,POST,0.8,7/6/2017,1,,undetermined amphipoda,1.0,L,WAA,470.12,"damaged, Gammaridae/Crangonyctidae",,28.58,100.0,
3,470.12-051,,SKIL,6.3,7/27/2017,1,,nigronia,1.0,L,WAA,470.12,,,32.0,100.0,
4,470.12-073,,BLKH,8.2,7/27/2017,9,,pelocoris sp,2.0,L,WAA,470.12,,12.0,,201.0,
5,470.12-074,,BLKK,1.1,7/11/2017,9,,neoplea sp,1.0,L,WAA,470.12,,16.0,,212.0,
6,470.12-075,,EBCR,16.3,7/25/2017,9,,pelocoris sp,1.0,L,WAA,470.12,,6.0,,202.0,
7,470.12-115,,CRIS,0.2,9/15/2016,Kick,1.0,nigronia sp,1.0,L,WAA,470.12,,,2.86,100.0,
8,470.12-126,,HOFF,0.8,8/28/2017,Kick,1.0,pontoporeia affinis,1.0,L,WAA,470.12,,,21.21,100.0,
9,470.12-145,,STEO,28.7,8/9/2017,Kick,1.0,nigronia sp,1.0,L,WAA,470.12,,,3.46,100.0,
10,470.12-148,,TANC,1.2,8/8/2017,Kick,1.0,boyeria grafiana,1.0,L,WAA,470.12,,,1.71,100.0,
11,470.12-148,,TANC,1.2,8/8/2017,Kick,1.0,nigronia sp,1.0,L,WAA,470.12,,,1.71,100.0,
12,470.12-161,,JAKS,0.1,8/8/2017,Kick,1.0,nigronia sp,1.0,L,WAA,470.12,,,26.79,100.0,
13,470.12-173,,BLCK,105.4,9/12/2017,Kick,1.0,nigronia sp,1.0,L,WAA,470.12,,,53.75,100.0,
14,470.12-176,,INDY,4.6,9/12/2017,Kick,1.0,nigronia sp,1.0,L,WAA,470.12,,,20.66,100.0,
15,470.12-177,,LBLK,5.0,9/12/2017,Kick,1.0,boyeria grafiana,1.0,L,WAA,470.12,,,36.78,100.0,
16,470.12-179,,MILE,0.7,9/13/2017,Kick,1.0,nigronia sp,1.0,L,WAA,470.12,,,17.95,100.0,
17,470.12-190,,CRYS_T11,1.1,9/13/2017,Kick,1.0,glutops sp,1.0,L,WAA,470.12,,,21.24,100.0,
18,470.12-192,,EDIK,3.7,9/13/2017,Kick,1.0,boyeria grafiana,1.0,L,WAA,470.12,,,8.18,100.0,
19,470.12-198,,TWIT,0.9,9/12/2017,Kick,1.0,boyeria grafiana,1.0,L,WAA,470.12,,,25.0,100.0,
20,470.12-207,,MOOS,2.5,9/13/2017,Kick,1.0,nigronia sp,1.0,L,WAA,470.12,,,13.54,100.0,
21,470.12-257,,OATK,5.8,7/19/2017,1,3.0,nigronia sp,1.0,L,WAA,470.12,,,3.44,100.0,Trees for Tribs Survey
22,470.12-262,,MILH,0.9,7/20/2017,1,2.0,nigronia sp,1.0,L,WAA,470.12,,,35.24,100.0,Trees for Tribs Survey
23,470.12-264,,MILH,0.1,7/20/2017,1,1.0,nigronia sp,1.0,L,WAA,470.12,,,38.24,100.0,Trees for Tribs Survey
24,470.12-016,13.0,ESOP,28.7,7/27/2017,1,,pontoporeia affinis,1.0,L,WAA,470.12,,,52.59,100.0,
25,470.12-040,13.0,PERR,1.5,7/25/2017,1,,undetermined amphipoda,1.0,L,WAA,470.12,damaged - Gammaridae/Crangonyctidae,,43.57,100.0,
26,470.12-041,13.0,POST,0.8,7/6/2017,1,,undetermined amphipoda,1.0,L,WAA,470.12,"damaged, Gammaridae/Crangonyctidae",,28.58,100.0,
27,470.12-051,13.0,SKIL,6.3,7/27/2017,1,,nigronia,1.0,L,WAA,470.12,,,32.0,100.0,
28,470.12-073,13.0,BLKH,8.2,7/27/2017,9,,pelocoris sp,2.0,L,WAA,470.12,,12.0,,201.0,
29,470.12-074,13.0,BLKK,1.1,7/11/2017,9,,neoplea sp,1.0,L,WAA,470.12,,16.0,,212.0,
30,470.12-075,13.0,EBCR,16.3,7/25/2017,9,,pelocoris sp,1.0,L,WAA,470.12,,6.0,,202.0,
