"ï..WAA.ID","BASIN","LOCATION","RIVMILE","COLL_DATE","COLLECT","Replicate","MACRO_GENSPECIES","INDIV","Stage","TAXONOMIST","WAA.Project.ID","Comments","X._Grids","PercentWTSorted","TotalInd","X"
"470.12-016",NA,"ESOP",28.7,"7/27/2017","1",NA,"pontoporeia affinis",1,"L","WAA","470.12","",NA,52.59,100,""
"470.12-040",NA,"PERR",1.5,"7/25/2017","1",NA,"amphipoda",1,"L","WAA","470.12","damaged - Gammaridae/Crangonyctidae",NA,43.57,100,""
"470.12-041",NA,"POST",0.8,"7/6/2017","1",NA,"amphipoda",1,"L","WAA","470.12","damaged, Gammaridae/Crangonyctidae",NA,28.58,100,""
"470.12-051",NA,"SKIL",6.3,"7/27/2017","1",NA,"nigronia",1,"L","WAA","470.12","",NA,32,100,""
"470.12-073",NA,"BLKH",8.2,"7/27/2017","9",NA,"pelocoris",2,"L","WAA","470.12","",12,NA,201,""
"470.12-074",NA,"BLKK",1.1,"7/11/2017","9",NA,"neoplea",1,"L","WAA","470.12","",16,NA,212,""
"470.12-075",NA,"EBCR",16.3,"7/25/2017","9",NA,"pelocoris",1,"L","WAA","470.12","",6,NA,202,""
"470.12-115",NA,"CRIS",0.2,"9/15/2016","Kick",1,"nigronia",1,"L","WAA","470.12","",NA,2.86,100,""
"470.12-126",NA,"HOFF",0.8,"8/28/2017","Kick",1,"pontoporeia affinis",1,"L","WAA","470.12","",NA,21.21,100,""
"470.12-145",NA,"STEO",28.7,"8/9/2017","Kick",1,"nigronia",1,"L","WAA","470.12","",NA,3.46,100,""
"470.12-148",NA,"TANC",1.2,"8/8/2017","Kick",1,"boyeria grafiana",1,"L","WAA","470.12","",NA,1.71,100,""
"470.12-148",NA,"TANC",1.2,"8/8/2017","Kick",1,"nigronia",1,"L","WAA","470.12","",NA,1.71,100,""
"470.12-161",NA,"JAKS",0.1,"8/8/2017","Kick",1,"nigronia",1,"L","WAA","470.12","",NA,26.79,100,""
"470.12-173",NA,"BLCK",105.4,"9/12/2017","Kick",1,"nigronia",1,"L","WAA","470.12","",NA,53.75,100,""
"470.12-176",NA,"INDY",4.6,"9/12/2017","Kick",1,"nigronia",1,"L","WAA","470.12","",NA,20.66,100,""
"470.12-177",NA,"LBLK",5,"9/12/2017","Kick",1,"boyeria grafiana",1,"L","WAA","470.12","",NA,36.78,100,""
"470.12-179",NA,"MILE",0.7,"9/13/2017","Kick",1,"nigronia",1,"L","WAA","470.12","",NA,17.95,100,""
"470.12-190",NA,"CRYS_T11",1.1,"9/13/2017","Kick",1,"glutops",1,"L","WAA","470.12","",NA,21.24,100,""
"470.12-192",NA,"EDIK",3.7,"9/13/2017","Kick",1,"boyeria grafiana",1,"L","WAA","470.12","",NA,8.18,100,""
"470.12-198",NA,"TWIT",0.9,"9/12/2017","Kick",1,"boyeria grafiana",1,"L","WAA","470.12","",NA,25,100,""
"470.12-207",NA,"MOOS",2.5,"9/13/2017","Kick",1,"nigronia",1,"L","WAA","470.12","",NA,13.54,100,""
"470.12-257",NA,"OATK",5.8,"7/19/2017","1",3,"nigronia",1,"L","WAA","470.12","",NA,3.44,100,"Trees for Tribs Survey"
"470.12-262",NA,"MILH",0.9,"7/20/2017","1",2,"nigronia",1,"L","WAA","470.12","",NA,35.24,100,"Trees for Tribs Survey"
"470.12-264",NA,"MILH",0.1,"7/20/2017","1",1,"nigronia",1,"L","WAA","470.12","",NA,38.24,100,"Trees for Tribs Survey"
"470.12-016",13,"ESOP",28.7,"7/27/2017","1",NA,"pontoporeia affinis",1,"L","WAA","470.12","",NA,52.59,100,""
"470.12-040",13,"PERR",1.5,"7/25/2017","1",NA,"amphipoda",1,"L","WAA","470.12","damaged - Gammaridae/Crangonyctidae",NA,43.57,100,""
"470.12-041",13,"POST",0.8,"7/6/2017","1",NA,"amphipoda",1,"L","WAA","470.12","damaged, Gammaridae/Crangonyctidae",NA,28.58,100,""
"470.12-051",13,"SKIL",6.3,"7/27/2017","1",NA,"nigronia",1,"L","WAA","470.12","",NA,32,100,""
"470.12-073",13,"BLKH",8.2,"7/27/2017","9",NA,"pelocoris",2,"L","WAA","470.12","",12,NA,201,""
"470.12-074",13,"BLKK",1.1,"7/11/2017","9",NA,"neoplea",1,"L","WAA","470.12","",16,NA,212,""
"470.12-075",13,"EBCR",16.3,"7/25/2017","9",NA,"pelocoris",1,"L","WAA","470.12","",6,NA,202,""
